state_id,cluster_id,split_role,regime_id,entropy,voi_oracle_raw,delta_u_force_explore,delta_u,useful_label,proxy_kernel_name,true_kernel_name,R_drs,R_jsd,R_tv,R_entropy,voi_bound_tv
false_recoverability|b=0.54|c=0.1,false_recoverability,registered_test,false_recoverability,0.9953784388202258,0.0,-0.1,,HARMFUL,bernoulli_0.90,near_identical,0.46799999999999997,0.3660148067714754,0.8,0.6899437584583995,0.000993600000000001
false_recoverability|b=0.54|c=0.25,false_recoverability,registered_test,false_recoverability,0.9953784388202258,0.0,-0.25,,HARMFUL,bernoulli_0.90,near_identical,0.46799999999999997,0.3660148067714754,0.8,0.6899437584583995,0.000993600000000001
hidden_recoverability|b=0.46|c=0.02,hidden_recoverability,registered_test,hidden_recoverability,0.9953784388202258,0.3600000000000001,0.3400000000000001,,BENEFICIAL,near_identical,bernoulli_0.90,0.0,1.9872013331319913e-06,0.0020000000000000018,0.6899437584583995,0.39744000000000007
hidden_recoverability|b=0.46|c=0.1,hidden_recoverability,registered_test,hidden_recoverability,0.9953784388202258,0.3600000000000001,0.2600000000000001,,BENEFICIAL,near_identical,bernoulli_0.90,0.0,1.9872013331319913e-06,0.0020000000000000018,0.6899437584583995,0.39744000000000007
hidden_recoverability|b=0.46|c=0.25,hidden_recoverability,registered_test,hidden_recoverability,0.9953784388202258,0.3600000000000001,0.1100000000000001,,BENEFICIAL,near_identical,bernoulli_0.90,0.0,1.9872013331319913e-06,0.0020000000000000018,0.6899437584583995,0.39744000000000007
hidden_recoverability|b=0.5|c=0.02,hidden_recoverability,registered_test,hidden_recoverability,1.0,0.4,0.38,,BENEFICIAL,near_identical,bernoulli_0.90,0.5,2.0000013333354005e-06,0.0020000000000000018,0.6931471805599453,0.4
hidden_recoverability|b=0.5|c=0.1,hidden_recoverability,registered_test,hidden_recoverability,1.0,0.4,0.30000000000000004,,BENEFICIAL,near_identical,bernoulli_0.90,0.5,2.0000013333354005e-06,0.0020000000000000018,0.6931471805599453,0.4
hidden_recoverability|b=0.5|c=0.25,hidden_recoverability,registered_test,hidden_recoverability,1.0,0.4,0.15000000000000002,,BENEFICIAL,near_identical,bernoulli_0.90,0.5,2.0000013333354005e-06,0.0020000000000000018,0.6931471805599453,0.4
hidden_recoverability|b=0.54|c=0.02,hidden_recoverability,registered_test,hidden_recoverability,0.9953784388202258,0.36,0.33999999999999997,,BENEFICIAL,near_identical,bernoulli_0.90,0.0,1.9872013332430136e-06,0.0020000000000000018,0.6899437584583995,0.39744
hidden_recoverability|b=0.54|c=0.1,hidden_recoverability,registered_test,hidden_recoverability,0.9953784388202258,0.36,0.26,,BENEFICIAL,near_identical,bernoulli_0.90,0.0,1.9872013332430136e-06,0.0020000000000000018,0.6899437584583995,0.39744
hidden_recoverability|b=0.54|c=0.25,hidden_recoverability,registered_test,hidden_recoverability,0.9953784388202258,0.36,0.10999999999999999,,BENEFICIAL,near_identical,bernoulli_0.90,0.0,1.9872013332430136e-06,0.0020000000000000018,0.6899437584583995,0.39744
misspecified_observation|b=0.3|c=0.02,misspecified_observation,registered_test,misspecified_observation,0.8812908992306927,0.22000000000000008,0.2000000000000001,,BENEFICIAL,heavy_overlap,bernoulli_0.92,0.0,0.0006722080080911345,0.040000000000000036,0.6108643020548935,0.3528
misspecified_observation|b=0.3|c=0.1,misspecified_observation,registered_test,misspecified_observation,0.8812908992306927,0.22000000000000008,0.12000000000000008,,BENEFICIAL,heavy_overlap,bernoulli_0.92,0.0,0.0006722080080911345,0.040000000000000036,0.6108643020548935,0.3528
